"tcp_stream","flow_id","flow_start","flow_finish","src_ip","src_port","dst_ip","dst_port",protocol,"total_duration","start_time","finish_time","total_packets","total_bytes",pps,bps,bpp,"total_http_errors","total_failures","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn","first_flag","last_flag"
10114,"192.168.10.25:53085->192.168.10.50:139","2017-07-07 17:49:22.425","2017-07-07 17:49:22.425","192.168.10.25",53085,"192.168.10.50",139,DCERPC,"0.000000","1499449762.425555","1499449762.425555",1,158,0,0,158,0,0,1,0,1,0,0,,
10114,"192.168.10.50:139->192.168.10.25:53085","2017-07-07 17:49:22.425","2017-07-07 17:49:22.425","192.168.10.50",139,"192.168.10.25",53085,DCERPC,"0.000000","1499449762.425813","1499449762.425813",1,128,0,0,128,0,0,1,0,1,0,0,,
121971,"192.168.10.25:53097->192.168.10.50:139","2017-07-07 17:55:22.412","2017-07-07 17:55:22.412","192.168.10.25",53097,"192.168.10.50",139,DCERPC,"0.000000","1499450122.412551","1499450122.412551",1,158,0,0,158,0,0,1,0,1,0,0,,
121971,"192.168.10.50:139->192.168.10.25:53097","2017-07-07 17:55:22.412","2017-07-07 17:55:22.412","192.168.10.50",139,"192.168.10.25",53097,DCERPC,"0.000000","1499450122.412776","1499450122.412776",1,128,0,0,128,0,0,1,0,1,0,0,,
1320,"192.168.10.25:52865->192.168.10.50:139","2017-07-07 17:07:22.513","2017-07-07 17:07:22.513","192.168.10.25",52865,"192.168.10.50",139,DCERPC,"0.000000","1499447242.513123","1499447242.513123",1,158,0,0,158,0,0,1,0,1,0,0,,
1320,"192.168.10.50:139->192.168.10.25:52865","2017-07-07 17:07:22.513","2017-07-07 17:07:22.513","192.168.10.50",139,"192.168.10.25",52865,DCERPC,"0.000000","1499447242.513348","1499447242.513348",1,128,0,0,128,0,0,1,0,1,0,0,,
151822,"192.168.10.25:53098->192.168.10.50:139","2017-07-07 17:58:23.878","2017-07-07 17:58:23.878","192.168.10.25",53098,"192.168.10.50",139,DCERPC,"0.000000","1499450303.878016","1499450303.878016",1,158,0,0,158,0,0,1,0,1,0,0,,
151822,"192.168.10.50:139->192.168.10.25:53098","2017-07-07 17:58:23.878","2017-07-07 17:58:23.878","192.168.10.50",139,"192.168.10.25",53098,DCERPC,"0.000000","1499450303.878241","1499450303.878241",1,128,0,0,128,0,0,1,0,1,0,0,,
152065,"192.168.10.3:135->192.168.10.5:54147","2017-07-07 17:58:42.352","2017-07-07 17:58:42.352","192.168.10.3",135,"192.168.10.5",54147,DCERPC,"0.000000","1499450322.352833","1499450322.352833",1,108,0,0,108,0,0,1,0,1,0,0,,
152065,"192.168.10.5:54147->192.168.10.3:135","2017-07-07 17:58:42.352","2017-07-07 17:58:42.352","192.168.10.5",54147,"192.168.10.3",135,DCERPC,"0.000000","1499450322.352805","1499450322.352805",1,160,0,0,160,0,0,1,0,1,0,0,,
152066,"192.168.10.3:49666->192.168.10.5:54148","2017-07-07 17:58:42.355","2017-07-07 17:58:42.355","192.168.10.3",49666,"192.168.10.5",54148,DCERPC,"0.000448","1499450322.355280","1499450322.355728",2,389,4464,868326,"194.5",0,0,2,0,2,0,0,,
152066,"192.168.10.5:54148->192.168.10.3:49666","2017-07-07 17:58:42.354","2017-07-07 17:58:42.355","192.168.10.5",54148,"192.168.10.3",49666,DCERPC,"0.000780","1499450322.354737","1499450322.355517",2,1975,2565,2532483,"987.5",0,0,2,0,2,0,0,,
152067,"192.168.10.3:49671->192.168.10.5:54149","2017-07-07 17:58:42.356","2017-07-07 17:58:42.356","192.168.10.3",49671,"192.168.10.5",54149,DCERPC,"0.000000","1499450322.356504","1499450322.356504",1,128,0,0,128,0,0,1,0,1,0,0,,
152067,"192.168.10.5:54149->192.168.10.3:49671","2017-07-07 17:58:42.356","2017-07-07 17:58:42.356","192.168.10.5",54149,"192.168.10.3",49671,DCERPC,"0.000000","1499450322.356344","1499450322.356344",1,221,0,0,221,0,0,1,0,1,0,0,,
152236,"192.168.10.3:135->192.168.10.5:54174","2017-07-07 18:00:53.145","2017-07-07 18:00:53.145","192.168.10.3",135,"192.168.10.5",54174,DCERPC,"0.000000","1499450453.145064","1499450453.145064",1,108,0,0,108,0,0,1,0,1,0,0,,
152236,"192.168.10.5:54174->192.168.10.3:135","2017-07-07 18:00:53.144","2017-07-07 18:00:53.144","192.168.10.5",54174,"192.168.10.3",135,DCERPC,"0.000000","1499450453.144923","1499450453.144923",1,160,0,0,160,0,0,1,0,1,0,0,,
