"tcp_stream","flow_id","flow_start","flow_finish","src_ip","src_port","dst_ip","dst_port",protocol,"total_duration","start_time","finish_time","total_packets","total_bytes",pps,bps,bpp,"total_http_errors","total_failures","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn","first_flag","last_flag"
10109,"192.168.10.12:139->192.168.10.25:50904","2017-07-03 13:10:54.545","2017-07-03 13:10:54.545","192.168.10.12",139,"192.168.10.25",50904,DCERPC,"0.000000","1499087454.545292","1499087454.545292",1,128,0,0,128,0,0,1,0,1,0,0,,
10109,"192.168.10.25:50904->192.168.10.12:139","2017-07-03 13:10:54.545","2017-07-03 13:10:54.545","192.168.10.25",50904,"192.168.10.12",139,DCERPC,"0.000000","1499087454.545078","1499087454.545078",1,158,0,0,158,0,0,1,0,1,0,0,,
10307,"192.168.10.12:139->192.168.10.25:53667","2017-07-03 13:46:54.488","2017-07-03 13:46:54.488","192.168.10.12",139,"192.168.10.25",53667,DCERPC,"0.000000","1499089614.488371","1499089614.488371",1,128,0,0,128,0,0,1,0,1,0,0,,
10307,"192.168.10.25:53667->192.168.10.12:139","2017-07-03 13:46:54.488","2017-07-03 13:46:54.488","192.168.10.25",53667,"192.168.10.12",139,DCERPC,"0.000000","1499089614.488151","1499089614.488151",1,158,0,0,158,0,0,1,0,1,0,0,,
10678,"192.168.10.14:53113->192.168.10.3:135","2017-07-03 13:49:19.528","2017-07-03 13:49:19.528","192.168.10.14",53113,"192.168.10.3",135,DCERPC,"0.000000","1499089759.528360","1499089759.528360",1,116,0,0,116,0,0,1,0,1,0,0,,
10678,"192.168.10.3:135->192.168.10.14:53113","2017-07-03 13:49:19.528","2017-07-03 13:49:19.528","192.168.10.3",135,"192.168.10.14",53113,DCERPC,"0.000000","1499089759.528489","1499089759.528489",1,84,0,0,84,0,0,1,0,1,0,0,,
10679,"192.168.10.14:53114->192.168.10.3:49666","2017-07-03 13:49:19.529","2017-07-03 13:49:19.550","192.168.10.14",53114,"192.168.10.3",49666,DCERPC,"0.020638","1499089759.529678","1499089759.550316",2,1969,"96.909",95407,"984.5",0,0,2,0,2,0,0,,
10679,"192.168.10.3:49666->192.168.10.14:53114","2017-07-03 13:49:19.530","2017-07-03 13:49:19.550","192.168.10.3",49666,"192.168.10.14",53114,DCERPC,"0.020335","1499089759.530223","1499089759.550558",2,365,"98.352",17949,"182.5",0,0,2,0,2,0,0,,
10933,"192.168.10.12:139->192.168.10.25:53798","2017-07-03 13:49:54.885","2017-07-03 13:49:54.885","192.168.10.12",139,"192.168.10.25",53798,DCERPC,"0.000000","1499089794.885732","1499089794.885732",1,128,0,0,128,0,0,1,0,1,0,0,,
10933,"192.168.10.25:53798->192.168.10.12:139","2017-07-03 13:49:54.885","2017-07-03 13:49:54.885","192.168.10.25",53798,"192.168.10.12",139,DCERPC,"0.000000","1499089794.885513","1499089794.885513",1,158,0,0,158,0,0,1,0,1,0,0,,
11037,"192.168.10.12:139->192.168.10.25:51235","2017-07-03 13:13:54.948","2017-07-03 13:13:54.948","192.168.10.12",139,"192.168.10.25",51235,DCERPC,"0.000000","1499087634.948221","1499087634.948221",1,128,0,0,128,0,0,1,0,1,0,0,,
11037,"192.168.10.25:51235->192.168.10.12:139","2017-07-03 13:13:54.948","2017-07-03 13:13:54.948","192.168.10.25",51235,"192.168.10.12",139,DCERPC,"0.000000","1499087634.948050","1499087634.948050",1,158,0,0,158,0,0,1,0,1,0,0,,
11293,"192.168.10.12:139->192.168.10.25:61684","2017-07-03 14:34:54.402","2017-07-03 14:34:54.402","192.168.10.12",139,"192.168.10.25",61684,DCERPC,"0.000000","1499092494.402847","1499092494.402847",1,128,0,0,128,0,0,1,0,1,0,0,,
11293,"192.168.10.25:61684->192.168.10.12:139","2017-07-03 14:34:54.402","2017-07-03 14:34:54.402","192.168.10.25",61684,"192.168.10.12",139,DCERPC,"0.000000","1499092494.402625","1499092494.402625",1,158,0,0,158,0,0,1,0,1,0,0,,
1142,"192.168.10.12:139->192.168.10.25:49171","2017-07-03 12:10:54.683","2017-07-03 12:10:54.683","192.168.10.12",139,"192.168.10.25",49171,DCERPC,"0.000000","1499083854.683519","1499083854.683519",1,128,0,0,128,0,0,1,0,1,0,0,,
1142,"192.168.10.25:49171->192.168.10.12:139","2017-07-03 12:10:54.683","2017-07-03 12:10:54.683","192.168.10.25",49171,"192.168.10.12",139,DCERPC,"0.000000","1499083854.683333","1499083854.683333",1,158,0,0,158,0,0,1,0,1,0,0,,
