conversation,duration,start,finish,"dc_src_ports","dc_dst_ports","total_mb","avg_mb",mbps,"total_packets","num_protocols","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn"
"1.1.70.73->192.168.10.17","0.1125175","2017-07-07 18:48:24.351","2017-07-07 18:48:31.102",1,12,"0.011685371398925781","0.00024344523747762045","0.1038538",48,2,48,12,13,0,12
"1.193.219.24->192.168.10.19","0.0157777","2017-07-07 19:45:32.027","2017-07-07 19:45:32.973",1,2,"0.009809494018554688","0.0005449718899197049","0.621732",18,2,18,2,4,0,4
"101.201.103.96->192.168.10.12","0.0162495","2017-07-07 19:13:34.436","2017-07-07 19:13:35.411",1,4,0,0,"0.00000",4,1,4,0,0,4,0
"101.201.103.96->192.168.10.19","0.02834152","2017-07-07 18:27:55.069","2017-07-07 18:27:56.769",1,7,0,0,"0.000000",7,1,7,0,0,7,0
"101.69.185.208->192.168.10.16","0.02349700","2017-07-07 19:19:42.886","2017-07-07 19:19:44.296",1,4,"0.013763427734375","0.00038231743706597225","0.5857525",36,2,36,4,18,0,4
"101.69.185.240->192.168.10.16","3.03844688","2017-07-07 19:19:41.949","2017-07-07 19:22:44.256",1,2,"0.009351730346679688","0.00033399036952427456","0.00307779952",28,2,28,2,16,0,2
"103.224.182.245->192.168.10.19","0.0014075","2017-07-07 18:52:39.184","2017-07-07 18:52:39.269",1,2,0,0,"0.0000",2,1,2,0,0,2,0
"103.235.252.17->192.168.10.19","1.1836257","2017-07-07 17:22:20.634","2017-07-07 17:23:31.651",1,2,"0.017353057861328125","0.0005597760600428428","0.014660933",31,2,31,2,8,0,2
"103.235.252.211->192.168.10.19","1.1789293","2017-07-07 17:22:22.496","2017-07-07 17:23:33.232",1,4,"0.0029010772705078125","0.00013186714865944603","0.0024607730",22,1,22,5,1,0,4
"103.235.252.232->192.168.10.19","1.1751533","2017-07-07 17:22:21.899","2017-07-07 17:23:32.408",1,2,"0.000186920166015625","0.0000133514404296875","0.00015906025",14,2,14,2,1,0,2
"103.235.46.39->192.168.10.25","0.65912918","2017-07-07 18:28:42.642","2017-07-07 18:29:22.190",1,1,"0.008367538452148438","0.00041837692260742186","0.012694838",20,2,19,1,6,1,1
"103.243.172.110->192.168.10.19","15.9633809","2017-07-07 17:57:07.985","2017-07-07 18:13:05.788",1,4,"0.01636505126953125","0.00038964407784598213","0.00102516199",42,2,42,4,16,0,4
"103.43.91.16->192.168.10.9","1.95404467","2017-07-07 19:23:50.179","2017-07-07 19:25:47.422",1,3,"0.02503681182861328","0.00033382415771484377","0.0128128145",75,2,75,3,14,0,3
"103.6.0.15->192.168.10.19","16.3357619","2017-07-07 17:57:04.142","2017-07-07 18:13:24.288",1,8,"0.02105236053466797","0.0001725603322513768","0.00128872841",122,2,122,9,28,0,8
"103.6.0.2->192.168.10.19","15.4653864","2017-07-07 17:57:07.153","2017-07-07 18:12:35.076",1,13,"0.09086322784423828","0.0005862143731886341","0.00587526399",155,2,148,14,41,7,13
"103.6.0.3->192.168.10.19","1.2474051","2017-07-07 17:57:03.161","2017-07-07 17:58:18.005",1,4,"0.04790782928466797","0.000647403098441459","0.038405991",74,2,73,5,16,1,4
