"src_ip","dst_ip",start,finish,"total_duration","total_bytes","total_packets","src_ports","dst_ports",pps,bps,bpp,"num_protocols","total_http_errors","total_failures","flag_syn","flag_ack"
"1.1.70.73","192.168.10.17","2017-07-07 18:48:24.351","2017-07-07 18:48:31.102","6.751048",12253,48,1,12,"7.110007","1814.978","255.27083333333334",2,0,0,12,48
"1.193.219.24","192.168.10.19","2017-07-07 19:45:32.027","2017-07-07 19:45:32.973","0.946661",10286,18,1,2,"19.0142","10865.6","571.4444444444445",2,0,0,4,18
"101.201.103.96","192.168.10.12","2017-07-07 19:13:34.436","2017-07-07 19:13:35.411","0.974969",0,4,1,4,"4.10269","0.00000",0,1,0,0,0,4
"101.201.103.96","192.168.10.19","2017-07-07 18:27:55.069","2017-07-07 18:27:56.769","1.700491",0,7,1,7,"4.116458","0.000000",0,1,0,0,0,7
"101.69.185.208","192.168.10.16","2017-07-07 19:19:42.886","2017-07-07 19:19:44.296","1.409820",14432,36,1,4,"25.53517","10236.77","400.8888888888889",2,0,0,4,36
"101.69.185.240","192.168.10.16","2017-07-07 19:19:41.949","2017-07-07 19:22:44.256","182.306813",9806,28,1,2,"0.153587239","53.7884451","350.2142857142857",2,0,0,2,28
"103.224.182.245","192.168.10.19","2017-07-07 18:52:39.184","2017-07-07 18:52:39.269","0.084451",0,2,1,2,"23.682","0.0000",0,1,0,0,0,2
"103.235.252.17","192.168.10.19","2017-07-07 17:22:20.634","2017-07-07 17:23:31.651","71.017543",18196,31,1,2,"0.43651186","256.21838","586.9677419354839",2,0,0,2,31
"103.235.252.211","192.168.10.19","2017-07-07 17:22:22.496","2017-07-07 17:23:33.232","70.735756",3042,22,1,4,"0.31101668","43.005124","138.27272727272728",1,0,0,4,22
"103.235.252.232","192.168.10.19","2017-07-07 17:22:21.899","2017-07-07 17:23:32.408","70.509195",196,14,1,2,"0.19855566","2.7797793",14,2,0,0,2,14
"103.235.46.39","192.168.10.25","2017-07-07 18:28:42.642","2017-07-07 18:29:22.190","39.547751",8774,20,1,1,"0.50571776","221.85838","438.7",2,0,0,1,19
