conversation,duration,start,finish,"dc_src_ports","dc_dst_ports","total_mb","avg_mb",mbps,"total_packets","num_protocols","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn"
"101.201.103.96->192.168.10.25","0.000000","2017-07-03 13:18:02.306","2017-07-03 13:18:02.306",1,1,0,0,,1,1,1,0,0,1,0
"103.224.182.245->192.168.10.51","0.0014381","2017-07-03 12:31:26.953","2017-07-03 12:31:27.040",1,2,0,0,"0.0000",2,1,2,0,0,2,0
"103.224.182.245->192.168.10.8","0.06481556","2017-07-03 12:37:22.625","2017-07-03 12:37:26.514",1,4,0,0,"0.000000",12,1,12,0,0,12,0
"103.224.182.246->192.168.10.12","0.00000040","2017-07-03 13:33:27.535","2017-07-03 13:33:27.535",1,2,0,0,"0.0",2,1,2,0,0,2,0
"103.224.182.246->192.168.10.25","0.000000","2017-07-03 14:39:01.600","2017-07-03 14:39:01.600",1,1,0,0,,1,1,1,0,0,1,0
"103.229.76.153->192.168.10.9","0.39107282","2017-07-03 13:14:39.587","2017-07-03 13:15:03.051",1,8,"0.04019737243652344","0.000375676377911434","0.10278744",107,2,107,11,28,0,8
"103.229.76.9->192.168.10.9","2.02310495","2017-07-03 13:14:34.592","2017-07-03 13:16:35.979",1,1,"0.10224151611328125","0.0010432807766661352","0.0505369314",98,2,98,2,13,0,1
"103.243.172.110->192.168.10.25","16.1140774","2017-07-03 13:36:08.191","2017-07-03 13:52:15.035",1,2,"0.009311676025390625","0.0004900882118626645","0.000577859705",19,2,18,2,8,1,2
"103.243.221.112->192.168.10.12","0.18016342","2017-07-03 14:05:32.538","2017-07-03 14:05:43.348",1,1,"0.0055637359619140625","0.0005057941783558239","0.030881607",11,2,11,1,4,0,1
"103.243.221.51->192.168.10.12","0.19135307","2017-07-03 14:00:43.024","2017-07-03 14:00:54.505",1,2,"0.011128425598144531","0.0005058375271883878","0.058156505",22,2,22,2,8,0,2
"103.247.220.132->192.168.10.14","0.30743070","2017-07-03 12:12:19.089","2017-07-03 12:12:37.535",2,6,"0.0641183853149414","0.0007204312956734989","0.20856208",89,3,89,5,24,1,7
"103.247.220.135->192.168.10.14","0.31121035","2017-07-03 12:12:29.760","2017-07-03 12:12:48.433",1,4,"0.02534008026123047","0.00045250143323625835","0.081424285",56,2,56,5,15,0,4
"103.247.220.153->192.168.10.14","0.25864887","2017-07-03 12:12:32.396","2017-07-03 12:12:47.915",1,3,"0.0002307891845703125","0.0000209808349609375","0.00089228763",11,2,11,3,1,0,3
"103.25.21.75->192.168.10.15","0.09233582","2017-07-03 12:33:28.554","2017-07-03 12:33:34.094",1,3,"0.016182899475097656","0.000385307130359468","0.1752613",42,2,42,3,25,0,3
"103.37.152.74->192.168.10.19","2.06472732","2017-07-03 14:22:21.766","2017-07-03 14:24:25.650",1,8,"0.04132080078125","0.0005436947471217105","0.0200127157",76,2,76,8,21,0,8
"103.43.91.16->192.168.10.12","1.95628430","2017-07-03 12:18:01.154","2017-07-03 12:19:58.531",1,2,"0.014410972595214844","0.0003002285957336426","0.00736650220",48,2,48,2,9,0,2
"103.43.91.17->192.168.10.9","1.94276037","2017-07-03 14:12:04.526","2017-07-03 14:14:01.092",1,2,"0.014356613159179688","0.00030545985445063167","0.00738980133",47,2,47,2,8,0,2
"103.43.91.7->192.168.10.12","1.94272578","2017-07-03 14:00:40.954","2017-07-03 14:02:37.517",1,2,"0.022017478942871094","0.0006115966373019748","0.0113332922",36,2,36,2,6,0,2
"103.6.0.15->192.168.10.25","0.99444065","2017-07-03 13:36:04.535","2017-07-03 13:37:04.202",1,4,"0.057328224182128906","0.0008189746311732701","0.057648714",70,2,70,7,17,0,4
"103.6.0.2->192.168.10.25","15.7373767","2017-07-03 13:36:01.623","2017-07-03 13:51:45.866",1,8,"0.196990966796875","0.0009800545611784825","0.0125173954",201,2,197,8,36,4,8
"103.6.0.3->192.168.10.25","16.4776152","2017-07-03 13:36:06.200","2017-07-03 13:52:34.857",1,4,"0.018736839294433594","0.00044611522129603794","0.00113710868",42,2,42,6,13,0,4
"104.103.219.29->192.168.10.15","2.10056375","2017-07-03 12:43:31.751","2017-07-03 12:45:37.785",1,11,"1.311081886291504","0.0015052604894276738","0.624157152",871,2,871,2,57,9,11
"104.103.219.29->192.168.10.51","2.02139283","2017-07-03 13:45:02.427","2017-07-03 13:47:03.711",1,9,"1.3139572143554688","0.0014486849110865146","0.650025662",907,2,907,2,53,7,9
"104.106.249.194->192.168.10.5","5.15375030","2017-07-03 12:28:20.527","2017-07-03 12:33:29.752",1,2,"0.09191608428955078","0.001436188817024231","0.0178347958",64,2,64,2,10,0,2
"104.107.1.74->192.168.10.15","1.95978623","2017-07-03 12:41:21.397","2017-07-03 12:43:18.984",1,2,"0.03044414520263672","0.000724860600062779","0.0155344214",42,2,42,2,8,0,2
