"start_time","finish_time","src_ip","dst_ip","total_bytes","total_common_protocols","total_src_ports","total_dst_ports","total_http_errors","total_failures",duration
"2017-07-03 13:18:02.306","2017-07-03 13:18:02.306","101.201.103.96","192.168.10.25",0,0,1,1,0,0,"0.000000"
"2017-07-03 12:31:26.953","2017-07-03 12:31:27.040","103.224.182.245","192.168.10.51",0,0,1,2,0,0,"0.086284"
"2017-07-03 12:37:22.625","2017-07-03 12:37:26.514","103.224.182.245","192.168.10.8",0,0,1,4,0,0,"3.888934"
"2017-07-03 13:33:27.535","2017-07-03 13:33:27.535","103.224.182.246","192.168.10.12",0,0,1,2,0,0,"0.000024"
"2017-07-03 14:39:01.600","2017-07-03 14:39:01.600","103.224.182.246","192.168.10.25",0,0,1,1,0,0,"0.000000"
"2017-07-03 13:14:39.587","2017-07-03 13:15:03.051","103.229.76.153","192.168.10.9",42150,0,1,8,0,0,"23.464369"
"2017-07-03 13:14:34.592","2017-07-03 13:16:35.979","103.229.76.9","192.168.10.9",107208,0,1,1,0,0,"121.386297"
"2017-07-03 13:36:08.191","2017-07-03 13:52:15.035","103.243.172.110","192.168.10.25",9764,0,1,2,0,0,"966.844646"
"2017-07-03 14:05:32.538","2017-07-03 14:05:43.348","103.243.221.112","192.168.10.12",5834,0,1,1,0,0,"10.809805"
"2017-07-03 14:00:43.024","2017-07-03 14:00:54.505","103.243.221.51","192.168.10.12",11669,0,1,2,0,0,"11.481184"
"2017-07-03 12:12:19.089","2017-07-03 12:12:37.535","103.247.220.132","192.168.10.14",67233,0,2,6,0,0,"18.445842"
"2017-07-03 12:12:29.760","2017-07-03 12:12:48.433","103.247.220.135","192.168.10.14",26571,0,1,4,0,0,"18.672621"
"2017-07-03 12:12:32.396","2017-07-03 12:12:47.915","103.247.220.153","192.168.10.14",242,0,1,3,0,0,"15.518932"
"2017-07-03 12:33:28.554","2017-07-03 12:33:34.094","103.25.21.75","192.168.10.15",16969,0,1,3,0,0,"5.540149"
"2017-07-03 14:22:21.766","2017-07-03 14:24:25.650","103.37.152.74","192.168.10.19",43328,0,1,8,0,0,"123.883639"
"2017-07-03 12:18:01.154","2017-07-03 12:19:58.531","103.43.91.16","192.168.10.12",15111,0,1,2,0,0,"117.377058"
"2017-07-03 14:12:04.526","2017-07-03 14:14:01.092","103.43.91.17","192.168.10.9",15054,0,1,2,0,0,"116.565622"
"2017-07-03 14:00:40.954","2017-07-03 14:02:37.517","103.43.91.7","192.168.10.12",23087,0,1,2,0,0,"116.563547"
"2017-07-03 13:36:04.535","2017-07-03 13:37:04.202","103.6.0.15","192.168.10.25",60113,0,1,4,0,0,"59.666439"
"2017-07-03 13:36:01.623","2017-07-03 13:51:45.866","103.6.0.2","192.168.10.25",206560,0,1,8,0,0,"944.242599"
"2017-07-03 13:36:06.200","2017-07-03 13:52:34.857","103.6.0.3","192.168.10.25",19647,0,1,4,0,0,"988.656910"
"2017-07-03 12:43:31.751","2017-07-03 12:45:37.785","104.103.219.29","192.168.10.15",1374769,0,1,11,0,0,"126.033825"
"2017-07-03 13:45:02.427","2017-07-03 13:47:03.711","104.103.219.29","192.168.10.51",1377784,0,1,9,0,0,"121.283570"
"2017-07-03 12:28:20.527","2017-07-03 12:33:29.752","104.106.249.194","192.168.10.5",96381,0,1,2,0,0,"309.225018"
"2017-07-03 12:41:21.397","2017-07-03 12:43:18.984","104.107.1.74","192.168.10.15",31923,0,1,2,0,0,"117.587174"
"2017-07-03 14:32:00.158","2017-07-03 14:33:55.938","104.117.102.33","192.168.10.12",23202,0,1,2,0,0,"115.780013"
"2017-07-03 13:29:50.990","2017-07-03 13:34:35.756","104.118.223.236","192.168.10.5",217640,0,1,4,0,0,"284.765975"
"2017-07-03 13:28:07.539","2017-07-03 13:30:03.627","104.118.223.7","192.168.10.9",8950,0,1,2,0,0,"116.087797"
