,duration,dc_src_ports,dc_dst_ports,total_mb,avg_mb,mbps,total_packets,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,attack,cluster,x,y
4742,2.03104755,9,1,0.017304420471191406,1.9776480538504464e-05,0.00851994847,875,3,866.0,9.0,49.0,8.0,9.0,1,-1,0.04873805058267365,0.36679216536561066
576,1.92342212,1,2,0.08687877655029297,0.0014479796091715494,0.0451688559,60,2,60.0,2.0,1.0,0.0,2.0,1,-1,0.01945921966919949,-1.5079685506838405
5202,69.50020495,2,2,0.002369880676269531,5.1519145136294156e-05,3.409890198e-05,46,4,44.0,2.0,8.0,1.0,2.0,1,-1,-0.05738520889359747,0.7604883377168582
582,1.97731627,1,2,0.11468791961669922,0.001170284894047951,0.058001808499999995,98,2,98.0,1.0,9.0,1.0,2.0,1,-1,-0.012090399214493255,-1.2302853380518672
9930,0.37654815,21,2,0.0511465072631836,2.513341880254722e-05,0.13582993,2035,4,2014.0,21.0,155.0,0.0,21.0,1,-1,0.48428356909209375,0.8123964371513708
6252,0.26869075,3,1,0.00234222412109375,7.319450378417969e-05,0.0087171744,32,3,29.0,3.0,10.0,0.0,3.0,1,1,-0.19590936486205304,0.22526077629370364
4684,1.1440905000000001,2,1,0.0021820068359375,6.818771362304688e-05,0.0019071976999999998,32,3,30.0,2.0,7.0,0.0,2.0,1,1,-0.2007484926053984,0.23084220741440223
1731,26.91564056,1,2,0.012842178344726562,6.904396959530409e-05,0.0004771269818,186,2,186.0,2.0,99.0,0.0,2.0,1,1,-0.08504482019462249,-0.03085778337640191
4521,45.13693353,2,1,0.00330352783203125,0.0001738698858963816,7.31890178e-05,19,3,17.0,0.0,6.0,0.0,2.0,1,1,-0.12248223917374894,0.2352387520572355
6340,0.02885054,1,1,0.0006971359252929688,6.33759932084517e-05,0.02416371,11,3,10.0,1.0,3.0,0.0,1.0,1,1,-0.21392622944386333,0.22602706306564588
