,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,cluster,x,y
13022,162.213.33.44,192.168.10.51,2017-07-03 12:16:18.668,2017-07-03 12:16:19.751,1.083687,4562,21,443,35794,19.37829,4209.7029999999995,217.23809523809524,3,1,1,1,0,1,-1,-0.6353936227766869,-0.1989453888062388
54077,192.168.10.8,204.237.206.130,2017-07-03 12:20:07.310,2017-07-03 12:20:07.520,0.209788,8278,87,49228,443,414.704,39458.9,95.14942528735632,3,1,1,1,0,1,-1,-1.2489316689674632,2.0708374772763865
35483,192.168.10.19,52.69.106.192,2017-07-03 13:22:36.800,2017-07-03 13:22:40.001,3.20075,12549,71,55283,443,22.1823,3920.64,176.74647887323945,3,1,0,1,0,1,-1,-0.9937112215687253,2.2364394268360304
34220,192.168.10.16,8.26.201.125,2017-07-03 14:23:19.167,2017-07-03 14:23:20.162,0.9949180000000001,17239,96,80,56986,96.4904,17327.1,179.57291666666663,2,1,0,1,0,1,-1,0.0007711253368981041,-0.6770031747243759
13263,162.213.33.44,192.168.10.51,2017-07-03 14:21:08.598,2017-07-03 14:21:10.014,1.4151639999999999,3114,22,443,39680,15.5459,2200.452,141.54545454545453,3,1,1,1,0,1,-1,-0.6309093673094528,-0.20841478846071526
17837,172.217.12.205,192.168.10.25,2017-07-03 13:03:20.411,2017-07-03 13:03:20.641,0.230449,3389,21,50672,443,91.1265,14706.1,161.38095238095238,2,1,1,1,0,1,0,-1.3386223661759484,0.5557027469468852
15382,172.217.10.45,192.168.10.25,2017-07-03 13:47:07.473,2017-07-03 13:47:07.706,0.233231,3341,23,53750,443,98.6147,14324.9,145.2608695652174,2,1,1,1,0,1,0,-1.364244791760857,0.6462006959520935
43475,192.168.10.25,68.67.178.243,2017-07-03 14:04:43.441,2017-07-03 14:04:43.598,0.15667999999999999,1605,19,56459,443,121.27,10244.0,84.47368421052632,2,1,1,1,0,1,0,-1.4937829145281543,0.6814424727349154
36889,192.168.10.25,216.58.219.226,2017-07-03 13:32:11.456,2017-07-03 13:32:11.655,0.198881,3381,25,52021,443,125.70299999999999,17000.1,135.24,2,1,1,1,0,1,0,-1.3589537693939406,0.6303688841760431
36773,192.168.10.25,216.58.219.194,2017-07-03 14:03:10.235,2017-07-03 14:03:10.543,0.308175,1872,21,56235,443,68.1431,6074.47,89.14285714285714,2,1,1,1,0,1,0,-1.4514279858372776,0.7116346089862159
46013,192.168.10.5,23.194.109.153,2017-07-03 12:59:32.058,2017-07-03 12:59:32.185,0.127868,704,8,52421,443,62.5645,5505.68,88.0,3,1,0,1,0,1,1,-2.0244146399392813,1.3354283535654403
3335,104.97.133.94,192.168.10.16,2017-07-03 12:28:00.645,2017-07-03 12:28:00.757,0.11224100000000001,720,9,57344,443,80.1846,6414.77,80.0,3,1,0,1,0,1,1,-2.0606046686311026,1.4465671213623201
28953,192.168.10.14,54.192.37.70,2017-07-03 13:39:07.994,2017-07-03 13:39:08.775,0.781013,11179,41,52760,443,52.4959,14313.5,272.6585365853659,3,1,0,1,0,1,1,-1.4157456015031338,1.6735939581324184
27396,192.168.10.14,23.111.9.30,2017-07-03 13:41:09.459,2017-07-03 13:41:09.658,0.199728,6487,19,52823,443,95.1294,32479.2,341.42105263157896,3,1,0,1,0,1,1,-1.656910570453081,1.3264080663567315
7646,151.101.20.166,192.168.10.12,2017-07-03 13:06:59.674,2017-07-03 13:06:59.786,0.11183499999999999,728,8,51650,443,71.534,6509.59,91.0,3,1,0,1,0,1,1,-2.0195226875041214,1.315864094715101
59843,192.168.10.9,85.114.159.93,2017-07-03 12:46:05.310,2017-07-03 12:46:06.077,0.767579,739,10,80,63118,13.028,962.7669999999999,73.9,2,1,1,1,0,1,2,-0.4382589673994795,-1.6602674455305708
40016,192.168.10.25,52.21.107.23,2017-07-03 14:02:29.422,2017-07-03 14:02:29.577,0.154757,1201,9,80,55919,58.1557,7760.55,133.44444444444446,2,1,1,1,0,1,2,-0.560358133364791,-1.612473645102459
