,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,cluster,x,y
50141,169.54.33.166,192.168.10.50,2017-07-07 19:03:39.677,2017-07-07 19:03:39.978,0.300729,36240,38,80,63290,126.36,120507.0,953.6842105263157,2,4,3,4,0,4,-1,3.5247182729435074,-0.5105891093140313
59366,192.168.10.12,212.42.76.247,2017-07-07 17:42:57.731,2017-07-07 17:43:00.909,3.177495,21619,94,443,42858,29.58305,6803.786999999999,229.9893617021277,3,1,0,1,0,1,-1,-0.3811509144242312,1.4485581073240685
28119,107.22.224.100,192.168.10.50,2017-07-07 19:14:12.318,2017-07-07 19:14:15.663,3.344898,11615,12,80,39995,3.5875529999999998,3472.453,967.9166666666665,2,1,1,1,1,1,-1,0.18069872940586368,-1.1784980372502658
22197,104.97.137.26,192.168.10.50,2017-07-07 19:10:56.532,2017-07-07 19:10:56.622,0.09001,11615,12,80,34634,133.3,129041.0,967.9166666666665,2,1,1,1,0,1,-1,-0.6934557051467203,-1.4866093220152752
76188,192.168.10.50,192.168.10.9,2017-07-07 18:42:55.329,2017-07-07 18:42:56.788,1.459275,4085,79,9340,22,54.136469999999996,2799.335,51.708860759493675,3,1,1,1,0,1,-1,-1.5345889952656375,2.0381586351772523
67768,192.168.10.16,209.204.228.173,2017-07-07 17:02:03.402,2017-07-07 17:02:04.577,1.174499,736,14,55100,443,11.91998,626.6502,52.57142857142857,3,1,1,1,0,1,1,-2.2872553919221423,2.2475234594542295
57833,178.255.83.1,192.168.10.9,2017-07-07 19:47:45.105,2017-07-07 19:47:45.224,0.119804,1296,10,80,10588,83.4697,10817.7,129.6,2,1,1,1,0,1,1,-1.6655708461033785,-0.41413109255818126
18633,104.97.137.26,192.168.10.50,2017-07-07 19:08:42.810,2017-07-07 19:08:43.305,0.49420699999999995,11615,13,80,31037,26.3048,23502.3,893.4615384615386,2,1,1,1,0,1,1,-0.6941558815672644,-1.2348981005872512
20564,104.97.137.26,192.168.10.50,2017-07-07 19:09:56.108,2017-07-07 19:09:56.830,0.722318,11615,13,80,32992,17.9976,16080.2,893.4615384615386,2,1,1,1,0,1,1,-0.6377975128137701,-1.2438352779158057
6062,104.16.24.216,192.168.10.8,2017-07-07 17:25:44.033,2017-07-07 17:25:44.629,0.596708,3746,12,80,7072,20.1103,6277.78,312.1666666666667,2,1,0,1,0,1,1,-1.7432998420127495,-0.4594910949039318
