,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,cluster,x,y
68214,192.168.10.16,23.60.139.27,2017-07-07 18:03:08.259,2017-07-07 18:03:08.296,0.037198,0,3,80,54586,80.649,0.0,0.0,1,1,0,0,0,1,0,-1.5091571664172858,2.2433714472052126
77294,192.168.10.8,50.63.243.230,2017-07-07 19:35:24.430,2017-07-07 19:35:24.462,0.032476,0,3,80,10094,92.376,0.0,0.0,1,1,0,0,0,1,0,-2.072790487562005,1.6060259908228005
32617,13.58.146.190,192.168.10.50,2017-07-07 17:55:34.002,2017-07-07 17:55:34.003,0.000877,0,4,80,43214,4561.0,0.0,0.0,1,1,0,0,1,1,0,-1.4739290612556952,2.2969538234371982
79169,192.168.10.9,35.185.103.93,2017-07-07 18:28:22.943,2017-07-07 18:28:23.181,0.238188,0,3,8805,443,12.5951,0.0,0.0,1,1,0,0,0,1,0,-2.2336195233074,1.2352913717242358
77989,192.168.10.8,72.21.91.29,2017-07-07 19:48:51.331,2017-07-07 19:48:51.354,0.023613,0,3,80,10190,127.05,0.0,0.0,1,1,0,0,0,1,0,-2.0739123847294385,1.6104731355297381
47459,162.242.240.67,192.168.10.50,2017-07-07 19:02:13.022,2017-07-07 19:02:22.178,9.156692,56615,68,80,60865,7.4262630000000005,6182.91,832.5735294117646,2,5,5,5,3,5,1,7.352637541828771,-1.2708492514372514
44636,151.101.192.194,192.168.10.50,2017-07-07 19:01:32.914,2017-07-07 19:01:39.607,6.6932339999999995,46460,49,80,59762,7.320825999999999,6941.338000000001,948.1632653061224,2,4,4,4,2,4,1,5.371678250792873,-0.4182683455526379
42486,151.101.192.194,192.168.10.50,2017-07-07 19:00:16.320,2017-07-07 19:00:23.232,6.911738000000001,37700,49,80,57612,7.089389,5454.4890000000005,769.3877551020407,2,4,4,4,2,4,1,5.072749117215761,-0.5258689316010698
40737,146.20.128.223,192.168.10.50,2017-07-07 18:59:38.508,2017-07-07 18:59:47.296,8.787733,47835,48,80,56532,5.46216,5443.383000000001,996.5625,2,4,4,4,2,4,1,5.639243336318081,-0.5358211475861477
40464,146.20.128.223,192.168.10.50,2017-07-07 18:59:28.522,2017-07-07 18:59:33.939,5.4163809999999994,34865,48,80,56259,8.862006,6436.955,726.3541666666665,2,4,3,4,2,4,1,4.527324339880614,-0.4544135656264958
