,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,cluster,x,y
44260,192.168.10.25,80.247.66.26,2017-07-03 14:19:11.923,2017-07-03 14:19:12.648,0.725301,10787,70,58963,443,96.5117,14872.4,154.1,2,1,1,1,1,1,-1,-0.5420269420184126,1.4571912482305354
12376,162.208.20.178,192.168.10.9,2017-07-03 13:00:15.207,2017-07-03 13:00:19.155,3.9478199999999997,936,12,80,65115,3.03965,237.093,78.0,3,1,0,1,0,1,-1,-0.40728185960215946,-0.6427045433319774
44875,192.168.10.3,192.168.10.9,2017-07-03 11:56:58.852,2017-07-03 11:56:58.853,0.00115,2816,16,88,1052,13913.0,2448696.0,176.0,2,2,1,1,1,2,-1,-0.27975675804010713,-3.4187838588951887
43640,192.168.10.25,69.16.175.10,2017-07-03 13:54:37.997,2017-07-03 13:54:38.110,0.112774,10562,40,55291,443,354.69199999999995,93656.3,264.05,2,1,1,1,1,1,-1,-0.6432763041581702,0.8972302904400606
57272,192.168.10.9,23.23.164.82,2017-07-03 13:02:28.722,2017-07-03 13:02:31.546,2.824584,878,11,80,65334,3.8943790000000003,310.8422,79.81818181818181,2,1,1,1,0,1,-1,-0.08425018134490248,-1.5699094341553697
13022,162.213.33.44,192.168.10.51,2017-07-03 12:16:18.668,2017-07-03 12:16:19.751,1.083687,4562,21,443,35794,19.37829,4209.7029999999995,217.23809523809524,3,1,1,1,0,1,1,-0.6353936227766869,-0.1989453888062388
59843,192.168.10.9,85.114.159.93,2017-07-03 12:46:05.310,2017-07-03 12:46:06.077,0.767579,739,10,80,63118,13.028,962.7669999999999,73.9,2,1,1,1,0,1,1,-0.4382589673994795,-1.6602674455305708
17837,172.217.12.205,192.168.10.25,2017-07-03 13:03:20.411,2017-07-03 13:03:20.641,0.230449,3389,21,50672,443,91.1265,14706.1,161.38095238095238,2,1,1,1,0,1,1,-1.3386223661759484,0.5557027469468852
46013,192.168.10.5,23.194.109.153,2017-07-03 12:59:32.058,2017-07-03 12:59:32.185,0.127868,704,8,52421,443,62.5645,5505.68,88.0,3,1,0,1,0,1,1,-2.0244146399392813,1.3354283535654403
3335,104.97.133.94,192.168.10.16,2017-07-03 12:28:00.645,2017-07-03 12:28:00.757,0.11224100000000001,720,9,57344,443,80.1846,6414.77,80.0,3,1,0,1,0,1,1,-2.0606046686311026,1.4465671213623201
