,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,cluster,x,y
50141,169.54.33.166,192.168.10.50,2017-07-07 19:03:39.677,2017-07-07 19:03:39.978,0.300729,36240,38,80,63290,126.36,120507.0,953.6842105263157,2,4,3,4,0,4,-1,3.5247182729435056,-0.5105891093140438
59366,192.168.10.12,212.42.76.247,2017-07-07 17:42:57.731,2017-07-07 17:43:00.909,3.177495,21619,94,443,42858,29.58305,6803.786999999999,229.9893617021277,3,1,0,1,0,1,-1,-0.3811509144242314,1.4485581073240676
76188,192.168.10.50,192.168.10.9,2017-07-07 18:42:55.329,2017-07-07 18:42:56.788,1.459275,4085,79,9340,22,54.136469999999996,2799.335,51.708860759493675,3,1,1,1,0,1,-1,-1.5345889952656366,2.038158635177243
47459,162.242.240.67,192.168.10.50,2017-07-07 19:02:13.022,2017-07-07 19:02:22.178,9.156692,56615,68,80,60865,7.4262630000000005,6182.91,832.5735294117646,2,5,5,5,3,5,-1,7.672045541953862,1.2727897614078074
44490,151.101.192.194,192.168.10.50,2017-07-07 19:01:26.975,2017-07-07 19:01:35.149,8.173480999999999,46460,48,80,59616,5.872651,5684.236999999999,967.9166666666665,2,4,4,4,1,4,-1,5.429426871930753,0.30931943005322593
28119,107.22.224.100,192.168.10.50,2017-07-07 19:14:12.318,2017-07-07 19:14:15.663,3.344898,11615,12,80,39995,3.5875529999999998,3472.453,967.9166666666665,2,1,1,1,1,1,1,0.18069872940586362,-1.1784980372502678
22197,104.97.137.26,192.168.10.50,2017-07-07 19:10:56.532,2017-07-07 19:10:56.622,0.09001,11615,12,80,34634,133.3,129041.0,967.9166666666665,2,1,1,1,0,1,1,-0.6934557051467197,-1.4866093220152785
57484,178.255.83.1,192.168.10.16,2017-07-07 18:04:41.293,2017-07-07 18:04:41.488,0.195948,1298,11,80,33900,56.1373,6624.21,118.0,2,1,1,1,0,1,1,-1.3562323361774922,-0.7039965851904841
9553,104.16.26.35,192.168.10.50,2017-07-07 19:02:50.198,2017-07-07 19:02:50.209,0.010645,20,5,80,23427,469.7,1878.8,4.0,2,1,0,1,0,1,1,-1.9000378444963129,-0.5691389035357608
57833,178.255.83.1,192.168.10.9,2017-07-07 19:47:45.105,2017-07-07 19:47:45.224,0.119804,1296,10,80,10588,83.4697,10817.7,129.6,2,1,1,1,0,1,1,-1.6655708461033774,-0.41413109255815983
