,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,cluster,x,y
44875,192.168.10.3,192.168.10.9,2017-07-03 11:56:58.852,2017-07-03 11:56:58.853,0.00115,2816,16,88,1052,13913.0,2448696.0,176.0,2,2,1,1,1,2,-1,-0.35740108413210253,4.894742369993812
10445,160.83.8.182,192.168.10.9,2017-07-03 13:32:37.363,2017-07-03 13:32:40.096,2.73307,30863,726,443,2008,265.635,11292.4,42.51101928374656,3,1,0,1,0,1,-1,0.6404097847360594,-4.661806804893693
56328,192.168.10.9,195.88.55.95,2017-07-03 13:10:05.636,2017-07-03 13:10:10.616,4.980098,36057,299,80,65482,60.03898,7240.219,120.59197324414714,3,1,0,1,0,1,-1,1.1284461558033572,-1.2992677162498074
22245,184.29.129.25,192.168.10.5,2017-07-03 14:35:02.781,2017-07-03 14:35:06.774,3.9934519999999996,14943,165,58162,443,41.317640000000004,3741.875,90.56363636363636,3,1,1,1,1,1,-1,-0.1423676036259485,-2.9190555059240726
26861,192.168.10.14,192.168.10.3,2017-07-03 12:04:17.551,2017-07-03 12:04:17.552,0.000679,399,15,88,49471,22091.0,587629.0,26.6,2,1,1,1,1,1,-1,-0.7915272796411538,4.747477682332112
13022,162.213.33.44,192.168.10.51,2017-07-03 12:16:18.668,2017-07-03 12:16:19.751,1.083687,4562,21,443,35794,19.37829,4209.7029999999995,217.23809523809524,3,1,1,1,0,1,0,-0.6682166501233189,0.17537921705303658
46013,192.168.10.5,23.194.109.153,2017-07-03 12:59:32.058,2017-07-03 12:59:32.185,0.127868,704,8,52421,443,62.5645,5505.68,88.0,3,1,0,1,0,1,0,-2.027809292858229,-1.3812550200850784
3335,104.97.133.94,192.168.10.16,2017-07-03 12:28:00.645,2017-07-03 12:28:00.757,0.11224100000000001,720,9,57344,443,80.1846,6414.77,80.0,3,1,0,1,0,1,0,-2.0664379447701937,-1.4857727116161372
10958,162.208.20.178,192.168.10.5,2017-07-03 12:30:50.106,2017-07-03 12:30:50.456,0.350269,4114,12,50598,443,34.2594,11745.3,342.8333333333333,3,1,1,1,0,1,0,-1.4105446583757686,-1.3417779568151582
54077,192.168.10.8,204.237.206.130,2017-07-03 12:20:07.310,2017-07-03 12:20:07.520,0.209788,8278,87,49228,443,414.704,39458.9,95.14942528735632,3,1,1,1,0,1,0,-1.366873628729876,-1.7808285358958909
59843,192.168.10.9,85.114.159.93,2017-07-03 12:46:05.310,2017-07-03 12:46:06.077,0.767579,739,10,80,63118,13.028,962.7669999999999,73.9,2,1,1,1,0,1,1,-0.4516772011207289,1.6353265111127337
17837,172.217.12.205,192.168.10.25,2017-07-03 13:03:20.411,2017-07-03 13:03:20.641,0.230449,3389,21,50672,443,91.1265,14706.1,161.38095238095238,2,1,1,1,0,1,1,-1.3593614434879353,-0.5542672375971265
40016,192.168.10.25,52.21.107.23,2017-07-03 14:02:29.422,2017-07-03 14:02:29.577,0.154757,1201,9,80,55919,58.1557,7760.55,133.44444444444446,2,1,1,1,0,1,1,-0.565345059544968,1.5769367404390071
1182,104.16.28.216,192.168.10.16,2017-07-03 13:00:47.284,2017-07-03 13:00:47.326,0.04135,2608,8,80,49912,193.5,63071.0,326.0,2,1,0,1,0,1,1,-0.7865542827214713,1.6742698802721412
20701,173.241.242.220,192.168.10.8,2017-07-03 14:04:03.060,2017-07-03 14:04:03.777,0.717434,1747,7,80,50534,9.757,2435.07,249.57142857142856,2,1,0,1,0,1,1,-0.749367476904771,1.5299438947666986
34405,192.168.10.17,192.168.10.50,2017-07-03 13:51:21.854,2017-07-03 13:51:21.864,0.010695,10378,28,50089,45134,2618.0,970360.0,370.6428571428572,2,1,1,1,0,1,2,-0.7115274359910077,1.7785524064249574
34426,192.168.10.17,192.168.10.50,2017-07-03 14:36:22.408,2017-07-03 14:36:22.418,0.010657999999999999,10378,28,60445,48372,2627.1,973729.0,370.6428571428572,2,1,1,1,0,1,2,-0.7474106107791874,1.634796789328166
34859,192.168.10.19,192.168.10.50,2017-07-03 12:47:21.920,2017-07-03 12:47:21.931,0.01081,10378,28,53783,13277,2590.0,960037.0,370.6428571428572,2,1,1,1,0,1,2,-1.059684916462379,1.090187532634222
23220,192.168.10.12,192.168.10.50,2017-07-03 12:24:10.161,2017-07-03 12:24:10.170,0.009314,10378,28,41652,39923,3006.0,1114237.0,370.6428571428572,2,1,1,1,0,1,2,-0.7272096674022737,2.076216968952159
51090,192.168.10.50,192.168.10.51,2017-07-03 14:33:50.140,2017-07-03 14:33:50.153,0.013137000000000001,10378,27,59794,27930,2055.3,789982.0,384.3703703703704,2,1,1,1,0,1,2,-0.9190331433867119,0.9795454599236807
52388,192.168.10.51,23.61.187.27,2017-07-03 12:50:23.606,2017-07-03 12:50:23.644,0.037252,0,3,80,37386,80.533,0.0,0.0,1,1,0,0,0,1,3,-1.3560338213418315,2.307169615554423
12203,162.208.20.178,192.168.10.9,2017-07-03 12:53:48.553,2017-07-03 12:53:48.638,0.085297,0,3,80,64373,35.171,0.0,0.0,1,1,0,0,0,1,3,-1.0727516336397234,2.804683843836839
