,start_time,finish_time,src_ip,dst_ip,total_bytes,total_common_protocols,total_src_ports,total_dst_ports,total_http_errors,total_failures,duration,cluster,x,y
23088,2017-07-03 11:57:58.369,2017-07-03 14:49:42.852,91.189.91.157,192.168.10.17,0,0,0,0,0,0,10304.48359,-1,1.962055273026063,-0.9235850679076326
12423,2017-07-03 12:19:40.859,2017-07-03 14:35:37.006,192.168.10.51,204.79.197.200,11337,0,9,2,0,0,8156.146692,-1,2.2185305705139373,-1.411827071504713
18851,2017-07-03 13:37:03.938,2017-07-03 14:32:19.343,52.15.40.245,192.168.10.5,24788,0,1,9,0,0,3315.405471,-1,0.804883384123876,0.27561741532215395
22322,2017-07-03 13:50:22.750,2017-07-03 14:00:41.236,72.167.18.239,192.168.10.12,63603,0,1,30,0,0,618.485652,-1,1.5398704617863355,1.9869604573491988
2772,2017-07-03 12:52:15.398,2017-07-03 14:47:50.246,172.217.3.98,192.168.10.8,48204,0,1,6,0,0,6934.847954000001,-1,1.6381393118542311,-0.1575907764131768
4556,2017-07-03 12:24:19.829,2017-07-03 12:28:11.496,192.168.10.14,104.16.25.216,2247,0,6,1,0,0,231.66724900000003,0,-0.22234887008480286,-0.5034236824073837
11212,2017-07-03 12:39:06.013,2017-07-03 12:39:17.521,192.168.10.5,52.44.11.177,1080,0,3,1,0,0,11.507904,0,-0.5096901894411704,-0.20393957949656072
15353,2017-07-03 13:23:37.499,2017-07-03 13:23:57.634,192.168.10.9,81.19.89.20,1811,0,2,1,0,0,20.13448,0,-0.5807524374654559,-0.10749305658554596
9362,2017-07-03 14:39:40.084,2017-07-03 14:39:40.338,192.168.10.25,52.84.143.108,375,0,1,1,0,0,0.253465,0,-0.6646741718600663,-0.016345604775295026
14241,2017-07-03 14:22:07.370,2017-07-03 14:25:08.142,192.168.10.9,172.217.12.161,3129,0,5,1,0,0,180.772435,0,-0.30903668978181126,-0.4010126107469978
