,start_time,finish_time,src_ip,dst_ip,total_bytes,total_common_protocols,total_src_ports,total_dst_ports,total_http_errors,total_failures,duration,cluster,x,y
2864,2017-07-07 17:34:57.076,2017-07-07 19:13:48.881,184.30.4.121,192.168.10.16,71013,0,1,8,0,0,5931.805805,-1,0.16900658792697662,1.929143456658946
8725,2017-07-07 17:15:55.393,2017-07-07 19:02:35.112,192.168.10.5,104.97.73.123,1022,0,2,1,0,0,6399.718753,-1,0.1558131370150538,2.1303456157638707
7621,2017-07-07 17:57:03.860,2017-07-07 18:13:24.005,192.168.10.19,103.6.0.15,11850,0,8,1,0,0,980.144817,-1,-0.012269102279634249,0.06895338964030051
2301,2017-07-07 18:27:25.417,2017-07-07 19:16:26.512,172.217.3.98,192.168.10.5,54524,0,2,5,0,0,2941.0954460000003,-1,0.039915040025244375,0.7761286447271888
10770,2017-07-07 19:08:23.217,2017-07-07 19:56:05.196,192.168.10.9,172.217.3.106,1991,0,2,1,0,0,2861.9793870000003,-1,0.010054124600907825,0.7519607445287588
8045,2017-07-07 17:10:52.323,2017-07-07 17:11:53.254,192.168.10.19,34.194.74.154,1590,0,2,1,0,0,60.930381999999994,1,-0.10562969795842357,-0.3393286330489128
12826,2017-07-07 18:37:56.738,2017-07-07 18:39:53.133,23.33.166.51,192.168.10.5,9956,0,1,3,0,0,116.394241,1,-0.10312426734465126,-0.3285196832967733
6932,2017-07-07 20:00:23.748,2017-07-07 20:02:19.744,192.168.10.17,104.97.122.160,1735,0,2,1,0,0,115.996113,1,-0.10332292401127142,-0.3178825148634151
8944,2017-07-07 18:27:28.135,2017-07-07 18:33:17.502,192.168.10.5,172.217.7.132,5081,0,2,1,0,0,349.366384,1,-0.09289833112812884,-0.22714269061609402
12105,2017-07-07 17:10:23.770,2017-07-07 17:10:25.915,209.85.144.109,192.168.10.19,4520,0,1,1,0,0,2.145159,1,-0.11619209330028266,-0.3708438760311808
