,start_time,finish_time,src_ip,dst_ip,total_bytes,total_common_protocols,total_src_ports,total_dst_ports,total_http_errors,total_failures,duration,cluster,x,y
8045,2017-07-07 17:10:52.323,2017-07-07 17:11:53.254,192.168.10.19,34.194.74.154,1590,0,2,1,0,0,60.930381999999994,0,-0.6346749020820188,-0.15423277873314675
12826,2017-07-07 18:37:56.738,2017-07-07 18:39:53.133,23.33.166.51,192.168.10.5,9956,0,1,3,0,0,116.394241,0,-0.38238035763172024,0.24905343758877918
6932,2017-07-07 20:00:23.748,2017-07-07 20:02:19.744,192.168.10.17,104.97.122.160,1735,0,2,1,0,0,115.996113,0,-0.6189375442481968,-0.1606330620021625
8944,2017-07-07 18:27:28.135,2017-07-07 18:33:17.502,192.168.10.5,172.217.7.132,5081,0,2,1,0,0,349.366384,0,-0.5484411705105344,-0.18262739158420466
12105,2017-07-07 17:10:23.770,2017-07-07 17:10:25.915,209.85.144.109,192.168.10.19,4520,0,1,1,0,0,2.145159,0,-0.7397553554205017,-0.03341088697771164
2948,2017-07-07 19:29:24.240,2017-07-07 19:34:29.691,185.15.175.133,192.168.10.15,83453,0,1,13,0,0,305.450859,1,1.361120311857297,1.7946794755217672
11547,2017-07-07 19:29:35.779,2017-07-07 19:31:19.315,195.209.111.7,192.168.10.15,16100,0,2,14,0,1,103.53602099999999,1,3.9117133215464306,9.003180861610073
2099,2017-07-07 17:47:17.924,2017-07-07 19:15:41.172,172.217.12.142,192.168.10.17,64221,0,2,15,0,0,5303.247756000001,1,3.154527171198303,1.3308502495643977
13438,2017-07-07 18:51:08.553,2017-07-07 19:15:43.795,38.72.130.155,192.168.10.12,97953,0,2,29,0,0,1475.2429650000001,1,4.344523294367255,3.860756800580539
1580,2017-07-07 17:07:12.257,2017-07-07 20:00:20.773,162.248.16.28,192.168.10.15,26533,0,2,16,0,0,10388.516301,1,4.695568448506728,0.7869037044358693
2864,2017-07-07 17:34:57.076,2017-07-07 19:13:48.881,184.30.4.121,192.168.10.16,71013,0,1,8,0,0,5931.805805,2,2.1372175528060176,0.374291271047934
8725,2017-07-07 17:15:55.393,2017-07-07 19:02:35.112,192.168.10.5,104.97.73.123,1022,0,2,1,0,0,6399.718753,2,1.1528844293650538,-0.9234059513248781
2301,2017-07-07 18:27:25.417,2017-07-07 19:16:26.512,172.217.3.98,192.168.10.5,54524,0,2,5,0,0,2941.0954460000003,2,0.8867154394163469,0.16837933307565434
13569,2017-07-07 17:25:42.245,2017-07-07 18:10:33.024,50.116.194.21,192.168.10.8,21967,0,2,6,0,0,2690.778462,2,0.9295785885072279,0.28061248894060775
8913,2017-07-07 17:09:10.436,2017-07-07 18:33:20.496,192.168.10.5,172.217.12.162,21291,0,13,1,0,0,5050.06009,2,1.8186127003717514,-1.9119409385727641
1557,2017-07-07 18:10:03.396,2017-07-07 18:13:04.267,162.213.63.56,192.168.10.15,1650274,0,2,7,0,0,180.870983,3,2.646102515969937,3.7860831950865377
16354,2017-07-07 17:08:15.392,2017-07-07 17:09:53.768,91.232.230.50,192.168.10.12,520065,0,1,5,0,0,98.376178,3,0.6399497793332325,1.495420800842093
12662,2017-07-07 18:40:40.166,2017-07-07 18:42:36.637,23.208.147.112,192.168.10.15,929681,0,1,4,0,0,116.470192,3,1.0562617651932122,2.119518612228367
10846,2017-07-07 17:01:08.162,2017-07-07 20:01:21.990,192.168.10.9,192.168.10.3,199716,0,42,6,0,0,10813.82858,4,7.171570939948357,-4.697672720337275
9921,2017-07-07 17:25:40.963,2017-07-07 19:35:32.428,192.168.10.8,173.241.242.143,45124,0,36,2,0,0,7791.465066,4,4.913165311281383,-4.544814998381847
9272,2017-07-07 17:54:10.718,2017-07-07 19:00:56.391,192.168.10.5,50.63.243.230,9400,0,29,1,0,0,4005.673018,4,2.9885782929571305,-3.538847414811353
