,src_ip,dst_ip,src_port,dst_port,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,fwd_total_http_errors,fwd_total_failures,tcp_stream,protocol,bwd_total_http_errors,bwd_total_failures,cluster,x,y
0,192.168.10.17,172.217.10.34,43060,443,10,9,0,0,0,0,0,TCP,0.0,0.0,0,0.2991961445785058,0.01043588941139662
1,192.168.10.17,172.217.10.34,43060,443,1,0,31,0,0,0,0,TLSv1.2,,,0,-0.29208327759781394,-0.004213637285369347
2,172.217.10.46,192.168.10.17,80,55848,12,12,0,0,0,0,1,TCP,0.0,0.0,0,0.4628449086936698,0.0006087608623421052
3,192.168.10.51,162.213.33.50,59225,443,2,3,0,0,0,0,2,TCP,0.0,0.0,0,-0.16237586386841074,-0.03113582367685724
4,162.213.33.50,192.168.10.51,443,59225,2,1,549,197,0,0,2,TLSv1.2,0.0,0.0,0,-0.21654951702200034,0.02559980242623704
20305,192.168.10.8,151.101.46.84,7923,443,1908,3236,0,5355832,0,0,8667,TCP,0.0,0.0,2,264.7870424816543,-66.07586755630582
217872,192.168.10.8,180.97.144.211,9416,443,1565,2628,0,4422373,0,0,182906,TCP,0.0,0.0,2,216.8142751744645,-54.13024057880699
306599,192.168.10.14,151.101.128.188,58086,443,1675,2162,0,4346420,0,0,226639,TCP,0.0,0.0,2,204.1403363199708,-45.432532295388455
434576,192.168.10.15,210.158.199.65,60944,443,1630,2285,2,4074860,0,0,289101,TCP,0.0,0.0,2,201.6705041580462,-45.16102371474599
1143,192.168.10.16,72.21.91.103,46148,443,761,744,0,1539123,0,0,558,TCP,0.0,0.0,4,77.01837434907692,-13.241581320371662
2509,192.168.10.8,151.101.21.5,5810,443,725,943,14,1391380,0,0,1080,TCP,0.0,0.0,4,79.53730849003452,-15.049879272828848
3042,192.168.10.25,216.58.219.206,52869,80,528,874,1368,1543263,0,0,1326,TCP,0.0,0.0,4,73.47044946387363,-18.52138692283023
8828,192.168.10.19,151.101.0.69,40583,443,387,585,0,867352,0,0,3818,TCP,0.0,0.0,4,47.18705897703803,-10.346042317246045
11086,192.168.10.5,117.27.230.185,53660,443,583,794,0,1253823,0,0,4768,TCP,0.0,0.0,4,67.48669974970973,-13.889435460159527
