,start_time,finish_time,src_ip,dst_ip,total_bytes,total_common_protocols,total_src_ports,total_dst_ports,total_http_errors,total_failures,duration,cluster,x,y
9655,2017-07-03 12:15:10.162,2017-07-03 12:15:10.272,192.168.10.25,66.235.128.218,114,0,1,1,0,0,0.11006300000000001,-1,-0.1192471048937849,-0.414594163706359
19304,2017-07-03 13:02:54.031,2017-07-03 13:03:44.332,52.22.202.224,192.168.10.9,1628,0,1,2,0,0,50.301133,-1,-0.11118920838301524,-0.3967840015375973
5804,2017-07-03 12:49:32.178,2017-07-03 12:52:24.872,192.168.10.15,104.17.227.106,18070,0,1,1,0,0,172.693979,-1,-0.10598685394223385,-0.34952720809851634
15068,2017-07-03 12:59:53.984,2017-07-03 13:01:49.862,192.168.10.9,54.192.37.180,1100,0,3,2,0,0,115.878119,-1,-0.08757929754361991,-0.3453247603493286
15841,2017-07-03 13:06:31.974,2017-07-03 13:08:18.749,199.233.57.19,192.168.10.12,9196,0,2,3,0,0,106.77483000000001,-1,-0.09003862709507755,-0.3639893853605114
23088,2017-07-03 11:57:58.369,2017-07-03 14:49:42.852,91.189.91.157,192.168.10.17,0,0,0,0,0,0,10304.48359,1,0.26355559479572166,3.5475232627654196
4556,2017-07-03 12:24:19.829,2017-07-03 12:28:11.496,192.168.10.14,104.16.25.216,2247,0,6,1,0,0,231.66724900000003,1,-0.05633918260315963,-0.26015741716257423
11212,2017-07-03 12:39:06.013,2017-07-03 12:39:17.521,192.168.10.5,52.44.11.177,1080,0,3,1,0,0,11.507904,1,-0.09718805263591059,-0.38415221857869225
12423,2017-07-03 12:19:40.859,2017-07-03 14:35:37.006,192.168.10.51,204.79.197.200,11337,0,9,2,0,0,8156.146692,1,0.29132064508107264,2.832834541112498
15353,2017-07-03 13:23:37.499,2017-07-03 13:23:57.634,192.168.10.9,81.19.89.20,1811,0,2,1,0,0,20.13448,1,-0.10721815917309274,-0.3939493376332289
