,start_time,finish_time,src_ip,dst_ip,total_bytes,total_common_protocols,total_src_ports,total_dst_ports,total_http_errors,total_failures,duration,cluster,x,y
10846,2017-07-07 17:01:08.162,2017-07-07 20:01:21.990,192.168.10.9,192.168.10.3,199716,0,42,6,0,0,10813.82858,-1,0.7560741891435455,4.172585443112016
2334,2017-07-07 17:20:33.889,2017-07-07 19:56:23.256,172.217.6.196,192.168.10.8,121038,0,2,8,0,0,9349.366752,-1,0.3307435934015859,3.266366754142695
11547,2017-07-07 19:29:35.779,2017-07-07 19:31:19.315,195.209.111.7,192.168.10.15,16100,0,2,14,0,1,103.53602099999999,-1,-0.11876475838835983,-5.540619224351992
1720,2017-07-07 17:00:30.622,2017-07-07 19:58:58.775,172.217.10.130,192.168.10.5,20307,0,2,8,0,0,10708.152512,-1,0.3629034865321332,3.8012734393210916
5899,2017-07-07 17:07:13.903,2017-07-07 20:01:20.337,192.168.10.15,98.139.225.35,3830,0,6,2,0,0,10446.434296,-1,0.36233201362325157,3.739686446937062
8045,2017-07-07 17:10:52.323,2017-07-07 17:11:53.254,192.168.10.19,34.194.74.154,1590,0,2,1,0,0,60.930381999999994,1,-0.10562969795842357,-0.3393286330489127
12826,2017-07-07 18:37:56.738,2017-07-07 18:39:53.133,23.33.166.51,192.168.10.5,9956,0,1,3,0,0,116.394241,1,-0.10312426734465127,-0.32851968329677306
6932,2017-07-07 20:00:23.748,2017-07-07 20:02:19.744,192.168.10.17,104.97.122.160,1735,0,2,1,0,0,115.996113,1,-0.10332292401127142,-0.31788251486341496
2864,2017-07-07 17:34:57.076,2017-07-07 19:13:48.881,184.30.4.121,192.168.10.16,71013,0,1,8,0,0,5931.805805,1,0.16900658792697648,1.9291434566589478
8944,2017-07-07 18:27:28.135,2017-07-07 18:33:17.502,192.168.10.5,172.217.7.132,5081,0,2,1,0,0,349.366384,1,-0.09289833112812884,-0.2271426906160938
