,duration,dc_src_ports,dc_dst_ports,total_mb,avg_mb,mbps,total_packets,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,attack,cluster,x,y
35,0.00255777,1,1,0.019408226013183597,0.0012938817342122394,7.587960000000001,15,2,15.0,1.0,2.0,0.0,1.0,0,-1,0.506203718276209,0.87510851868595
3039,75.01554162,2,4,0.09647369384765624,0.0008245614858774039,0.001286049421,117,3,117.0,4.0,37.0,0.0,4.0,0,-1,0.1626028245156613,-0.038648528968761545
1347,14.582058499999999,1,76,0.19087982177734372,0.0006278941505833678,0.0130900464,304,2,302.0,76.0,21.0,2.0,76.0,0,-1,0.28253186288975446,-0.20455681159362188
106,84.21608739,1,322,7.954888343811035,0.0010777521126962518,0.09445806129,7381,2,7381.0,322.0,2464.0,0.0,322.0,0,-1,4.633688156686768,-0.9096742254854803
360,0.17510832,1,4,0.9054746627807616,0.0018982697332930016,5.1709403,477,2,477.0,4.0,49.0,0.0,4.0,0,-1,0.5975512192796605,0.7220061221878349
6252,1.0510322,1,1,0.001224517822265625,7.203046013327206e-05,0.0011650621000000002,17,3,16.0,1.0,4.0,0.0,1.0,0,0,-0.16939395281475397,0.009741969075518187
4684,5.16037948,36,1,0.05247402191162109,0.0001790922249543382,0.0101686363,293,3,256.0,36.0,106.0,0.0,37.0,0,0,0.11691262275015726,-0.10418886632927328
1731,148.4679014,2,19,0.02942371368408203,9.340861487010169e-05,0.0001981823236,315,3,315.0,19.0,55.0,0.0,19.0,0,0,0.19111714403144744,-0.25919951488461684
5202,0.10392280000000001,1,1,0.0007648468017578125,7.648468017578125e-05,0.007359762,10,3,9.0,1.0,3.0,0.0,1.0,0,0,-0.1708040258514246,0.011741835675845656
6363,2.00938963,1,1,0.009830474853515623,0.0004468397660688921,0.00489226912,22,3,21.0,1.0,4.0,0.0,1.0,0,0,-0.08297023086924267,0.0416847717057051
6340,1.9514673,2,1,0.004840850830078125,0.00010085105895996094,0.00248062103,48,4,46.0,2.0,17.0,0.0,2.0,0,1,-0.10818094960217692,-0.03830905758240626
7938,121.883068,6,2,0.030590057373046875,0.00020125037745425572,0.0002509787279,152,4,146.0,6.0,19.0,0.0,6.0,0,1,0.10903296043592609,-0.21065010075314325
8187,0.08871132,2,2,0.0022602081298828125,0.00016144343784877231,0.02547824,14,4,12.0,2.0,4.0,0.0,2.0,0,1,-0.10944092662271959,-0.03197741102311093
7942,21.56299753,3,2,0.0006742477416992188,2.1070241928100586e-05,3.126873899e-05,32,4,29.0,3.0,4.0,0.0,3.0,0,1,-0.10762953821798174,-0.07961785569882758
8093,2.04489679,4,2,0.003256797790527344,3.2567977905273436e-05,0.00159264654,100,4,96.0,4.0,10.0,0.0,4.0,0,1,-0.11948365656225018,-0.05153349666170796
4742,0.11939849999999999,5,1,0.0014667510986328125,9.110255271011258e-06,0.0122845,161,2,156.0,5.0,5.0,0.0,5.0,0,2,-0.19632252169240363,0.04575962352043872
4521,11.0513951,29,1,0.07602691650390625,9.49150018775359e-05,0.00687939541,801,2,772.0,29.0,188.0,0.0,29.0,0,2,0.16032853865393576,-0.026013316312382257
576,1.92361102,1,2,0.00098419189453125,5.4677327473958336e-05,0.0005116376890000001,18,2,18.0,2.0,2.0,0.0,2.0,0,2,-0.20389204503121675,0.0497722388593326
439,0.80204252,1,6,0.006662368774414063,0.00013596670968191963,0.0083067526,49,2,49.0,6.0,19.0,0.0,6.0,0,2,-0.14978243986101325,0.043662105744547985
2750,3.04491087,1,2,0.017762184143066406,0.00044405460357666016,0.005833400359999999,40,2,40.0,2.0,25.0,0.0,2.0,0,2,-0.08699931399658162,0.08283304450461632
3999,7.8e-07,0,0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0,3,-0.2659272082275448,0.10398175799600573
6590,1.3590178999999998,7,1,0.0,0.0,0.0,38,1,0.0,0.0,0.0,0.0,38.0,0,3,-0.22846517469429845,0.06835332633843441
1315,0.0,1,1,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1.0,0,3,-0.2607818710231726,0.09880066592827061
2753,75.39699538,0,0,0.0,0.0,0.0,24,1,0.0,0.0,0.0,0.0,0.0,0,3,-0.15813260506958707,-0.0017528046050291342
9753,3.35e-06,2,1,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,2.0,0,3,-0.2581847059769786,0.09621696337439242
7772,147.23287549999998,0,0,0.0,0.0,0.0,83,1,0.0,0.0,0.0,0.0,0.0,0,4,-0.05464937828007906,-0.10158413706168513
965,167.03319718,0,0,0.0,0.0,0.0,71,1,0.0,0.0,0.0,0.0,0.0,0,4,-0.026705481820220058,-0.1297764605200516
6940,161.0000031,0,0,0.0,0.0,0.0,64,1,0.0,0.0,0.0,0.0,0.0,0,4,-0.03543852961107131,-0.12144092245591842
4181,165.8077127,0,0,0.0,0.0,0.0,96,1,0.0,0.0,0.0,0.0,0.0,0,4,-0.02793763546235901,-0.12745176903683927
6990,158.8053138,0,0,0.0,0.0,0.0,630,1,0.0,0.0,0.0,0.0,0.0,0,4,-0.026958274225059985,-0.10481907871691894
