,start_time,finish_time,src_ip,dst_ip,total_bytes,total_common_protocols,total_src_ports,total_dst_ports,total_http_errors,total_failures,duration,cluster,x,y
22332,2017-07-03 12:06:59.974,2017-07-03 13:18:45.014,72.167.239.239,192.168.10.16,62937,0,1,42,2,0,4305.03986,-1,0.2962216806231325,0.4788702142533051
3296,2017-07-03 12:37:12.811,2017-07-03 12:37:29.527,175.111.28.43,192.168.10.15,7030,0,1,8,38,0,16.715398,-1,-0.11891371305270337,-13.78053544618802
15858,2017-07-03 12:45:44.450,2017-07-03 13:03:07.250,199.244.50.41,192.168.10.9,255870,0,1,19,3,0,1042.799699,-1,0.11158739573936374,-1.1141266219574149
18664,2017-07-03 13:54:29.853,2017-07-03 14:49:50.620,50.31.185.39,192.168.10.25,133,0,1,19,0,19,3320.766907,-1,0.1728653124685235,17.35678576750201
1483,2017-07-03 13:41:05.712,2017-07-03 13:41:05.744,151.101.129.127,192.168.10.25,7,0,1,1,0,1,0.031673,-1,-0.11595045583553078,0.4546671604757803
23088,2017-07-03 11:57:58.369,2017-07-03 14:49:42.852,91.189.91.157,192.168.10.17,0,0,0,0,0,0,10304.48359,0,0.26355559479572166,3.5475232627654196
4556,2017-07-03 12:24:19.829,2017-07-03 12:28:11.496,192.168.10.14,104.16.25.216,2247,0,6,1,0,0,231.66724900000003,0,-0.05633918260315963,-0.26015741716257423
11212,2017-07-03 12:39:06.013,2017-07-03 12:39:17.521,192.168.10.5,52.44.11.177,1080,0,3,1,0,0,11.507904,0,-0.09718805263591059,-0.38415221857869225
12423,2017-07-03 12:19:40.859,2017-07-03 14:35:37.006,192.168.10.51,204.79.197.200,11337,0,9,2,0,0,8156.146692,0,0.29132064508107264,2.832834541112498
15353,2017-07-03 13:23:37.499,2017-07-03 13:23:57.634,192.168.10.9,81.19.89.20,1811,0,2,1,0,0,20.13448,0,-0.10721815917309274,-0.3939493376332289
15844,2017-07-03 13:06:17.416,2017-07-03 13:06:27.504,199.233.57.19,192.168.10.19,1350,0,1,2,1,0,10.08739,1,-0.11394727610091532,-0.7638960531015604
3422,2017-07-03 12:19:45.752,2017-07-03 12:19:51.140,184.172.43.156,192.168.10.51,2689,0,1,4,1,0,5.387716999999999,1,-0.10251941785045271,-0.7686592489529137
21812,2017-07-03 13:31:30.151,2017-07-03 13:31:35.791,64.74.232.42,192.168.10.51,187,0,1,1,1,0,5.6402019999999995,1,-0.12010517943886502,-0.7640947498942252
274,2017-07-03 14:04:06.620,2017-07-03 14:11:41.561,104.199.123.9,192.168.10.8,1453,0,1,4,1,0,454.941745,1,-0.0855631964493221,-0.5951920080848413
21223,2017-07-03 12:45:52.623,2017-07-03 12:50:44.899,54.225.147.109,192.168.10.9,9118,0,2,10,1,0,292.27575099999996,1,-0.045064749412901305,-0.6540135689781702
