,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,attack,cluster,x,y
50141,169.54.33.166,192.168.10.50,2017-07-07 19:03:39.677,2017-07-07 19:03:39.978,0.300729,36240,38,80,63290,126.36,120507.0,953.6842105263157,2,4,3,4,0,4,1,-1,3.4382132594980273,0.48612689907531587
59366,192.168.10.12,212.42.76.247,2017-07-07 17:42:57.731,2017-07-07 17:43:00.909,3.177495,21619,94,443,42858,29.58305,6803.786999999999,229.9893617021277,3,1,0,1,0,1,1,-1,-0.6391509951499306,-1.029305835818272
28119,107.22.224.100,192.168.10.50,2017-07-07 19:14:12.318,2017-07-07 19:14:15.663,3.344898,11615,12,80,39995,3.5875529999999998,3472.453,967.9166666666665,2,1,1,1,1,1,1,-1,0.17327291947918036,1.1117393372134778
22197,104.97.137.26,192.168.10.50,2017-07-07 19:10:56.532,2017-07-07 19:10:56.622,0.09001,11615,12,80,34634,133.3,129041.0,967.9166666666665,2,1,1,1,0,1,1,-1,-0.6739569899126923,1.4538008160428306
76188,192.168.10.50,192.168.10.9,2017-07-07 18:42:55.329,2017-07-07 18:42:56.788,1.459275,4085,79,9340,22,54.136469999999996,2799.335,51.708860759493675,3,1,1,1,0,1,1,-1,-1.7362127403995922,-1.687573368345502
18633,104.97.137.26,192.168.10.50,2017-07-07 19:08:42.810,2017-07-07 19:08:43.305,0.49420699999999995,11615,13,80,31037,26.3048,23502.3,893.4615384615386,2,1,1,1,0,1,1,1,-0.6778714863049813,1.2005785504585826
20564,104.97.137.26,192.168.10.50,2017-07-07 19:09:56.108,2017-07-07 19:09:56.830,0.722318,11615,13,80,32992,17.9976,16080.2,893.4615384615386,2,1,1,1,0,1,1,1,-0.6232383165883029,1.2090848188920278
60855,192.168.10.12,61.251.165.12,2017-07-07 19:15:39.213,2017-07-07 19:15:39.862,0.648981,1515,10,80,39058,15.4088,2334.43,151.5,2,1,1,1,0,1,1,1,-1.1980926281952546,0.833861380296383
6062,104.16.24.216,192.168.10.8,2017-07-07 17:25:44.033,2017-07-07 17:25:44.629,0.596708,3746,12,80,7072,20.1103,6277.78,312.1666666666667,2,1,0,1,0,1,1,1,-1.7252992498072914,0.48732020473898807
16280,104.19.196.102,192.168.10.5,2017-07-07 18:41:27.284,2017-07-07 18:41:27.446,0.162378,994,13,55837,443,80.0601,6121.52,76.46153846153847,3,1,0,1,0,1,1,1,-2.716698732004377,-2.1831060770112947
