,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,attack,cluster,x,y
34220,192.168.10.16,8.26.201.125,2017-07-03 14:23:19.167,2017-07-03 14:23:20.162,0.9949180000000001,17239,96,80,56986,96.4904,17327.1,179.57291666666663,2,1,0,1,0,1,0,-1,-0.3190779459517549,0.6301390801031673
12376,162.208.20.178,192.168.10.9,2017-07-03 13:00:15.207,2017-07-03 13:00:19.155,3.9478199999999997,936,12,80,65115,3.03965,237.093,78.0,3,1,0,1,0,1,0,-1,-0.6458234661797523,0.31596456163151426
45074,192.168.10.5,192.33.31.192,2017-07-03 14:30:10.234,2017-07-03 14:30:11.802,1.568346,30020,250,57607,443,159.4036,19141.18,120.08,3,1,0,1,0,1,0,-1,-0.8575795002015126,-3.325162626518982
53183,192.168.10.51,62.138.109.56,2017-07-03 13:40:31.868,2017-07-03 13:40:32.963,1.095336,17984,128,80,38881,116.8591,16418.71,140.5,2,1,0,1,0,1,0,-1,-0.4441996344384768,0.11195603081420755
44875,192.168.10.3,192.168.10.9,2017-07-03 11:56:58.852,2017-07-03 11:56:58.853,0.00115,2816,16,88,1052,13913.0,2448696.0,176.0,2,2,1,1,1,2,0,-1,-0.5330160985188584,3.898792537413407
13022,162.213.33.44,192.168.10.51,2017-07-03 12:16:18.668,2017-07-03 12:16:19.751,1.083687,4562,21,443,35794,19.37829,4209.7029999999995,217.23809523809524,3,1,1,1,0,1,0,0,-0.8549879489128437,-0.0714984534242788
13263,162.213.33.44,192.168.10.51,2017-07-03 14:21:08.598,2017-07-03 14:21:10.014,1.4151639999999999,3114,22,443,39680,15.5459,2200.452,141.54545454545453,3,1,1,1,0,1,0,0,-0.8563429771804082,-0.06146754168532359
33544,192.168.10.16,54.225.202.195,2017-07-03 14:03:02.123,2017-07-03 14:03:02.643,0.520882,4504,21,443,43590,40.3162,8646.87,214.47619047619045,3,1,1,1,0,1,0,0,-0.8611981909009867,0.1027979991907815
13321,162.213.33.44,192.168.10.51,2017-07-03 14:51:02.583,2017-07-03 14:51:03.662,1.079274,3114,22,443,40426,20.38407,2885.2729999999997,141.54545454545453,3,1,1,1,0,1,0,0,-0.8974273818427841,-0.025817122388310545
34896,192.168.10.19,192.99.233.72,2017-07-03 14:22:16.989,2017-07-03 14:22:19.065,2.0759819999999998,5195,18,443,35401,8.670595,2502.43,288.6111111111111,3,1,1,1,0,1,0,0,-0.6541573991115905,-0.09710951318931732
20850,176.9.124.131,192.168.10.16,2017-07-03 14:30:03.463,2017-07-03 14:30:03.819,0.356731,4983,15,443,40194,42.0485,13968.5,332.2,3,1,0,1,0,1,0,1,-1.1347523605494896,0.21864661826437762
22917,191.237.24.89,192.168.10.16,2017-07-03 12:07:00.668,2017-07-03 12:07:00.871,0.20372200000000001,3127,12,443,34414,58.9038,15349.3,260.5833333333333,3,1,0,1,0,1,0,1,-1.3194741493279105,0.13137669763873258
8236,151.101.208.166,192.168.10.12,2017-07-03 13:21:03.484,2017-07-03 13:21:03.597,0.112419,728,8,443,39302,71.1623,6475.77,91.0,3,1,0,1,0,1,0,1,-1.4695510809915395,0.16707681831289353
23413,192.168.10.12,204.154.111.108,2017-07-03 13:57:10.458,2017-07-03 13:57:10.572,0.113325,5252,11,443,39208,97.066,46344.6,477.45454545454544,3,1,0,1,0,1,0,1,-1.082541929665933,0.3565257573946083
20631,173.241.242.220,192.168.10.12,2017-07-03 13:22:41.599,2017-07-03 13:22:42.066,0.466983,6110,17,443,40798,36.4039,13084.0,359.4117647058823,3,1,0,1,0,1,0,1,-1.0606254571983555,0.21218966891315152
9631,152.163.66.131,192.168.10.9,2017-07-03 12:14:54.776,2017-07-03 12:14:55.408,0.631379,4276,15,443,1381,23.7575,6772.48,285.06666666666666,3,1,0,1,0,1,0,2,-1.5399991037348972,-0.48232093847812013
